latitude,longitude,NumOfCloseListings,PerSqm,Deviation_price_per_sqm
48.20039946,16.36285737,390,16230.16632,0.6394
48.20068551,16.36268571,385,14787.27798,0.4937
48.1990445,16.35014117,637,10089.02077,0.0191
48.1933339,16.35032337,606,14351.85185,0.4497
48.1901979,16.34637904,503,12828.32618,0.2958
48.19216577,16.33919046,480,7312.5,-0.2614
48.19075377,16.34011574,489,5197.916667,-0.475
48.1901979,16.34637904,503,14775.07222,0.4924
48.1933339,16.35032337,606,5277.777778,-0.4669
48.1933339,16.35032337,606,8032.490975,-0.1886
48.1933339,16.35032337,606,8032.490975,-0.1886
48.1901979,16.34637904,503,9653.465347,-0.0249
48.1930612,16.34427345,564,7111.111111,-0.2817
48.1930612,16.34427345,564,7111.111111,-0.2817
48.1933339,16.35032337,606,7803.790412,-0.2117
48.19438172,16.34430465,561,10322.58065,0.0427
48.19118592,16.33922072,502,6305.405405,-0.3631
48.20039946,16.36298612,389,14637.93103,0.4786
48.19011483,16.34488745,492,5350.333651,-0.4596
48.19075377,16.34011574,489,5365.384615,-0.458
48.19422843,16.33971464,510,6973.995272,-0.2956
48.1901979,16.34637904,503,5588.598362,-0.4355
48.19787756,16.35531976,608,7793.103448,-0.2128
48.1901979,16.34637904,503,8936.170213,-0.0974
48.20767458,16.3471463,625,10738.14827,0.3315
48.20558731,16.33820488,467,5916.202122,-0.2664
48.20558731,16.33820488,467,10663.9839,0.3223
48.2055995,16.34745514,671,6959.064327,-0.1371
48.20727498,16.3415587,545,7824.324324,-0.0298
48.19966505,16.34089965,500,7727.212065,-0.0419
48.19966505,16.34089965,500,7629.213483,-0.054
48.20727498,16.3415587,545,10194.17476,0.264
48.20112965,16.34415315,594,7283.933324,-0.0968
48.20308454,16.34905357,667,6440.28103,-0.2015
48.20112965,16.34415315,594,9689.922481,0.2015
48.20509692,16.34718956,686,23636.36364,1.9307
48.20757838,16.34204912,558,11255.04353,0.3955
48.20112965,16.34415315,594,7208.333333,-0.1062
48.20659961,16.34875434,645,8032.258065,-0.0041
48.20152328,16.35051289,673,16165.41353,1.0044
48.20112965,16.34415315,594,2984.251969,-0.63
